#{"t_start": 1762788408.883086, "env_id": "None"}
r,l,t
-49.938054,1,40.239202
-49.938054,1,40.353137
-49.938054,1,40.464281
-49.938054,1,40.575384
-49.938054,1,40.68638
-49.938054,1,40.797337
-49.938054,1,40.908631
-49.938054,1,41.019642
-49.938054,1,41.130689
-49.938054,1,41.241991
-49.938054,1,41.352957
-49.938054,1,41.466579
-49.938054,1,41.577634
-49.938054,1,41.688848
-49.938054,1,41.799913
-49.938054,1,41.911434
-49.938054,1,42.022607
-49.938054,1,42.133947
-49.938054,1,42.245414
-49.938054,1,42.35688
-49.938054,1,42.467995
-49.938054,1,42.582011
-49.938054,1,42.693414
-49.938054,1,42.804554
-49.938054,1,42.916005
-49.938054,1,43.027086
-49.938054,1,43.139402
-49.938054,1,43.25235
-49.938054,1,43.363528
-49.938054,1,43.475218
-49.938054,1,43.586482
-49.938054,1,43.699823
-49.938054,1,43.811038
-49.938054,1,43.922033
-49.938054,1,44.033239
-49.938054,1,44.144392
-49.938054,1,44.255386
-49.938054,1,44.366817
-49.938054,1,44.480221
-49.938054,1,44.591396
-49.938054,1,44.70258
-49.938054,1,44.816236
-49.938054,1,44.927415
-49.938054,1,45.038473
-49.938054,1,45.149661
-49.938054,1,45.260873
-49.938054,1,45.371866
-49.938054,1,45.482952
-49.938054,1,45.595577
-49.938054,1,45.709269
-49.938054,1,45.820385
-49.938054,1,45.934206
-49.938054,1,46.046048
-49.938054,1,46.157156
-49.938054,1,46.268218
-49.938054,1,46.379375
-49.938054,1,46.490444
-49.938054,1,46.601485
-49.938054,1,46.712565
-49.938054,1,46.823672
-49.938054,1,46.936248
-49.938054,1,47.050724
-49.938054,1,47.16186
-49.938054,1,47.273299
-49.938054,1,47.384386
-49.938054,1,47.495666
-49.938054,1,47.606712
-49.938054,1,47.717906
-49.938054,1,47.829325
-49.938054,1,47.94048
-49.938054,1,48.051525
-49.938054,1,48.166134
-49.938054,1,48.277321
-49.938054,1,48.388629
-49.938054,1,48.499604
-49.938054,1,48.610673
-49.938054,1,48.721667
-49.938054,1,48.832594
-49.938054,1,48.943569
-49.938054,1,49.054675
-49.938054,1,49.166217
-49.938054,1,49.280513
-49.938054,1,49.39152
-49.938054,1,49.50274
-49.938054,1,49.614184
-49.938054,1,49.725179
-49.938054,1,49.836432
-49.938054,1,49.947785
-49.938054,1,50.058896
-49.938054,1,50.169895
-49.938054,1,50.281559
-49.938054,1,50.395737
-49.938054,1,50.50674
-49.938054,1,50.618629
-49.938054,1,50.729962
-49.938054,1,50.841018
-49.938054,1,50.952676
-49.938054,1,51.06406
-49.938054,1,51.175099
-49.938054,1,51.286303
-49.938054,1,51.397914
-49.938054,1,51.511828
-49.938054,1,51.622905
-49.938054,1,51.734088
-49.938054,1,51.845333
-49.938054,1,51.956502
-49.938054,1,52.067641
-49.938054,1,52.178718
-49.938054,1,52.290216
-49.938054,1,52.401475
-49.938054,1,52.512444
-49.938054,1,52.625999
-49.938054,1,52.737453
-49.938054,1,52.848975
-49.938054,1,52.96025
-49.938054,1,53.073513
-49.938054,1,53.18456
-49.938054,1,53.295725
-49.938054,1,53.406999
-49.938054,1,53.518209
-49.938054,1,53.629276
-49.938054,1,53.742769
-49.938054,1,53.854099
-49.938054,1,53.965361
-49.938054,1,54.07634
-49.938054,1,54.187423
-49.938054,1,54.300748
-49.938054,1,54.411726
-49.938054,1,54.522848
-49.938054,1,54.634783
-49.938054,1,54.745856
-49.938054,1,54.859929
-49.938054,1,54.971222
-49.938054,1,55.082338
-49.938054,1,55.193475
-49.938054,1,55.30463
-49.938054,1,55.41647
-49.938054,1,55.529449
-49.938054,1,55.640482
-49.938054,1,55.751662
-49.938054,1,55.862745
-49.938054,1,55.977032
